year,date,rank,team,games,win,loss,draw,win_rate,gb,last10,streak,home,away
2015,20150405,1,KIA,6,6,0,0,1.000,0,6승0무0패,6승,2-0-0,4-0-0
2015,20150405,2,롯데,6,5,1,0,0.833,1,5승0무1패,2승,4-0-0,1-0-1
2015,20150405,3,NC,5,3,2,0,0.600,2.5,3승0무2패,3승,3-0-0,0-0-2
2015,20150405,4,삼성,7,4,3,0,0.571,2.5,4승0무3패,2패,1-0-1,3-0-2
2015,20150405,5,SK,6,3,3,0,0.500,3,3승0무3패,2승,0-0-1,3-0-2
2015,20150405,5,두산,6,3,3,0,0.500,3,3승0무3패,3패,2-0-0,1-0-3
2015,20150405,7,LG,7,3,4,0,0.429,3.5,3승0무4패,2승,3-0-2,0-0-2
2015,20150405,8,넥센,6,2,4,0,0.333,4,2승0무4패,2패,2-0-3,0-0-1
2015,20150405,8,한화,6,2,4,0,0.333,4,2승0무4패,2패,1-0-1,1-0-3
2015,20150405,10,KT,7,0,7,0,0.000,6.5,0승0무7패,7패,0-0-5,0-0-2
2015,20150418,1,삼성,17,12,5,0,0.706,0,8승0무2패,3승,8-0-2,4-0-3
2015,20150418,2,SK,16,10,6,0,0.625,1.5,7승0무3패,1승,5-0-3,5-0-3
2015,20150418,2,두산,16,10,6,0,0.625,1.5,7승0무3패,4승,6-0-1,4-0-5
2015,20150418,4,롯데,17,9,8,0,0.529,3,4승0무6패,3패,8-0-2,1-0-6
2015,20150418,5,NC,16,8,8,0,0.500,3.5,4승0무6패,2패,4-0-2,4-0-6
2015,20150418,5,KIA,16,8,8,0,0.500,3.5,2승0무8패,3패,2-0-5,6-0-3
2015,20150418,5,한화,16,8,8,0,0.500,3.5,6승0무4패,2승,6-0-3,2-0-5
2015,20150418,8,LG,17,8,9,0,0.471,4,5승0무5패,1패,6-0-4,2-0-5
2015,20150418,9,넥센,16,7,9,0,0.438,4.5,5승0무5패,2승,3-0-5,4-0-4
2015,20150418,10,KT,17,2,15,0,0.118,10,2승0무8패,4패,0-0-7,2-0-8
2015,20150501,1,삼성,27,18,9,0,0.667,0,6승0무4패,3승,11-0-3,7-0-6
2015,20150501,2,두산,25,16,9,0,0.640,1,7승0무3패,1패,10-0-2,6-0-7
2015,20150501,3,SK,25,14,11,0,0.560,3,5승0무5패,2승,6-0-4,8-0-7
2015,20150501,3,한화,25,14,11,0,0.560,3,7승0무3패,2승,10-0-3,4-0-8
2015,20150501,5,넥센,26,14,12,0,0.538,3.5,7승0무3패,1승,5-0-8,9-0-4
2015,20150501,5,롯데,26,14,12,0,0.538,3.5,5승0무5패,1패,11-0-2,3-0-10
2015,20150501,7,LG,27,13,14,0,0.481,5,5승0무5패,3패,8-0-6,5-0-8
2015,20150501,8,KIA,26,12,14,0,0.462,5.5,4승0무6패,2패,5-0-9,7-0-5
2015,20150501,9,NC,25,11,14,0,0.440,6,3승0무7패,1승,5-0-7,6-0-7
2015,20150501,10,KT,26,3,23,0,0.115,14.5,1승0무9패,7패,1-0-13,2-0-10
2015,20150514,1,삼성,37,23,14,0,0.622,0,5승0무5패,1패,13-0-5,10-0-9
2015,20150514,2,두산,34,21,13,0,0.618,0.5,5승0무5패,1패,14-0-4,7-0-9
2015,20150514,3,SK,34,20,14,0,0.588,1.5,7승0무3패,1승,9-0-6,11-0-8
2015,20150514,4,넥센,37,20,17,0,0.541,3,5승0무5패,1승,8-0-11,12-0-6
2015,20150514,5,NC,35,18,16,1,0.529,3.5,7승1무2패,1패,10-0-8,8-1-8
2015,20150514,6,한화,36,19,17,0,0.528,3.5,4승0무6패,1승,12-0-6,7-0-11
2015,20150514,7,KIA,36,18,18,0,0.500,4.5,6승0무4패,4승,9-0-9,9-0-9
2015,20150514,8,롯데,37,17,20,0,0.459,6,3승0무7패,1패,13-0-6,4-0-14
2015,20150514,9,LG,37,16,20,1,0.444,6.5,3승1무6패,2승,9-1-8,7-0-12
2015,20150514,10,KT,37,7,30,0,0.189,16,4승0무6패,4패,3-0-16,4-0-14
2015,20150527,1,NC,46,27,18,1,0.600,0,8승0무2패,7승,14-0-9,13-1-9
2015,20150527,2,삼성,47,28,19,0,0.596,0,5승0무5패,1패,15-0-8,13-0-11
2015,20150527,3,두산,43,25,18,0,0.581,1,4승0무6패,2패,17-0-6,8-0-12
2015,20150527,4,SK,45,25,20,0,0.556,2,4승0무6패,1승,12-0-8,13-0-12
2015,20150527,5,넥센,48,25,23,0,0.521,3.5,4승0무6패,1승,10-0-15,15-0-8
2015,20150527,5,롯데,48,25,23,0,0.521,3.5,7승0무3패,1패,17-0-8,8-0-15
2015,20150527,7,한화,47,24,23,0,0.511,4,5승0무5패,1승,14-0-9,10-0-14
2015,20150527,8,KIA,46,23,23,0,0.500,4.5,5승0무5패,1패,12-0-11,11-0-12
2015,20150527,9,LG,48,21,26,1,0.447,7,5승0무5패,2승,12-1-10,9-0-16
2015,20150527,10,KT,48,9,39,0,0.188,19.5,2승0무8패,2패,4-0-21,5-0-18
2015,20150609,1,삼성,58,35,23,0,0.603,0,7승0무3패,3패,18-0-10,17-0-13
2015,20150609,2,NC,57,33,23,1,0.589,1,5승0무5패,3승,17-0-13,16-1-10
2015,20150609,3,두산,54,31,23,0,0.574,2,6승0무4패,2승,18-0-8,13-0-15
2015,20150609,4,넥센,59,32,26,1,0.552,3,6승1무3패,2패,14-0-17,18-1-9
2015,20150609,5,한화,58,30,28,0,0.517,5,5승0무5패,1승,17-0-10,13-0-18
2015,20150609,6,SK,56,28,27,1,0.509,5.5,3승1무6패,1패,12-1-12,16-0-15
2015,20150609,7,롯데,58,29,29,0,0.500,6,4승0무6패,1패,20-0-11,9-0-18
2015,20150609,7,KIA,56,28,28,0,0.500,6,5승0무5패,1승,14-0-13,14-0-15
2015,20150609,9,LG,59,25,33,1,0.431,10,4승0무6패,3패,13-1-17,12-0-16
2015,20150609,10,KT,59,14,45,0,0.237,21.5,4승0무6패,2승,6-0-25,8-0-20
2015,20150622,1,NC,67,39,27,1,0.591,0,6승0무4패,4승,20-0-13,19-1-14
2015,20150622,2,삼성,67,39,28,0,0.582,0.5,4승0무6패,2승,19-0-14,20-0-14
