team,games,cur_wr,progress,win_rate,recent10_wr,streak_num,home_wr,away_wr,asof,fetched_at
LG,84,0.619,0.5833,0.619,0.5,1,0.6977,0.5366,20260708,2026-07-08 22:55
삼성,84,0.61,0.5833,0.61,0.8,-1,0.625,0.5952,20260708,2026-07-08 22:55
KT,83,0.573,0.5764,0.573,0.4,3,0.5778,0.5676,20260708,2026-07-08 22:55
KIA,85,0.53,0.5903,0.53,0.3333,-4,0.6,0.4651,20260708,2026-07-08 22:55
두산,86,0.512,0.5972,0.512,0.6,1,0.5854,0.4419,20260708,2026-07-08 22:55
한화,81,0.494,0.5625,0.494,0.5,-2,0.4359,0.55,20260708,2026-07-08 22:55
NC,81,0.488,0.5625,0.488,0.7,3,0.5122,0.4615,20260708,2026-07-08 22:55
롯데,84,0.463,0.5833,0.463,0.6,2,0.3846,0.5349,20260708,2026-07-08 22:55
SSG,85,0.378,0.5903,0.378,0.1111,-1,0.3784,0.3778,20260708,2026-07-08 22:55
키움,87,0.337,0.6042,0.337,0.3,-4,0.4043,0.2564,20260708,2026-07-08 22:55
