year,date,team,games,progress,win_rate,recent10_wr,streak_num,home_wr,away_wr,final_win_rate
2015,20150405,KIA,6,0.042,1.0,1.0,6,1.0,1.0,0.465
2015,20150405,롯데,6,0.042,0.833,0.833,2,1.0,0.5,0.462
2015,20150405,NC,5,0.035,0.6,0.6,3,1.0,0.0,0.596
2015,20150405,삼성,7,0.049,0.571,0.571,-2,0.5,0.6,0.611
2015,20150405,SSG,6,0.042,0.5,0.5,2,0.0,0.6,0.486
2015,20150405,두산,6,0.042,0.5,0.5,-3,1.0,0.25,0.549
2015,20150405,LG,7,0.049,0.429,0.429,2,0.6,0.0,0.451
2015,20150405,키움,6,0.042,0.333,0.333,-2,0.4,0.0,0.545
2015,20150405,한화,6,0.042,0.333,0.333,-2,0.5,0.25,0.472
2015,20150405,KT,7,0.049,0.0,0.0,-7,0.0,0.0,0.364
2015,20150418,삼성,17,0.118,0.706,0.8,3,0.8,0.571,0.611
2015,20150418,SSG,16,0.111,0.625,0.7,1,0.625,0.625,0.486
2015,20150418,두산,16,0.111,0.625,0.7,4,0.857,0.444,0.549
2015,20150418,롯데,17,0.118,0.529,0.4,-3,0.8,0.143,0.462
2015,20150418,NC,16,0.111,0.5,0.4,-2,0.667,0.4,0.596
2015,20150418,KIA,16,0.111,0.5,0.2,-3,0.286,0.667,0.465
2015,20150418,한화,16,0.111,0.5,0.6,2,0.667,0.286,0.472
2015,20150418,LG,17,0.118,0.471,0.5,-1,0.6,0.286,0.451
2015,20150418,키움,16,0.111,0.438,0.5,2,0.375,0.5,0.545
2015,20150418,KT,17,0.118,0.118,0.2,-4,0.0,0.2,0.364
2015,20150501,삼성,27,0.188,0.667,0.6,3,0.786,0.538,0.611
2015,20150501,두산,25,0.174,0.64,0.7,-1,0.833,0.462,0.549
2015,20150501,SSG,25,0.174,0.56,0.5,2,0.6,0.533,0.486
2015,20150501,한화,25,0.174,0.56,0.7,2,0.769,0.333,0.472
2015,20150501,키움,26,0.181,0.538,0.7,1,0.385,0.692,0.545
2015,20150501,롯데,26,0.181,0.538,0.5,-1,0.846,0.231,0.462
2015,20150501,LG,27,0.188,0.481,0.5,-3,0.571,0.385,0.451
2015,20150501,KIA,26,0.181,0.462,0.4,-2,0.357,0.583,0.465
2015,20150501,NC,25,0.174,0.44,0.3,1,0.417,0.462,0.596
2015,20150501,KT,26,0.181,0.115,0.1,-7,0.071,0.167,0.364
2015,20150514,삼성,37,0.257,0.622,0.5,-1,0.722,0.526,0.611
2015,20150514,두산,34,0.236,0.618,0.5,-1,0.778,0.438,0.549
2015,20150514,SSG,34,0.236,0.588,0.7,1,0.6,0.579,0.486
2015,20150514,키움,37,0.257,0.541,0.5,1,0.421,0.667,0.545
2015,20150514,NC,35,0.243,0.529,0.778,-1,0.556,0.5,0.596
2015,20150514,한화,36,0.25,0.528,0.4,1,0.667,0.389,0.472
2015,20150514,KIA,36,0.25,0.5,0.6,4,0.5,0.5,0.465
2015,20150514,롯데,37,0.257,0.459,0.3,-1,0.684,0.222,0.462
2015,20150514,LG,37,0.257,0.444,0.333,2,0.529,0.368,0.451
2015,20150514,KT,37,0.257,0.189,0.4,-4,0.158,0.222,0.364
2015,20150527,NC,46,0.319,0.6,0.8,7,0.609,0.591,0.596
2015,20150527,삼성,47,0.326,0.596,0.5,-1,0.652,0.542,0.611
2015,20150527,두산,43,0.299,0.581,0.4,-2,0.739,0.4,0.549
2015,20150527,SSG,45,0.312,0.556,0.4,1,0.6,0.52,0.486
2015,20150527,키움,48,0.333,0.521,0.4,1,0.4,0.652,0.545
2015,20150527,롯데,48,0.333,0.521,0.7,-1,0.68,0.348,0.462
2015,20150527,한화,47,0.326,0.511,0.5,1,0.609,0.417,0.472
2015,20150527,KIA,46,0.319,0.5,0.5,-1,0.522,0.478,0.465
2015,20150527,LG,48,0.333,0.447,0.5,2,0.545,0.36,0.451
2015,20150527,KT,48,0.333,0.188,0.2,-2,0.16,0.217,0.364
2015,20150609,삼성,58,0.403,0.603,0.7,-3,0.643,0.567,0.611
2015,20150609,NC,57,0.396,0.589,0.5,3,0.567,0.615,0.596
2015,20150609,두산,54,0.375,0.574,0.6,2,0.692,0.464,0.549
2015,20150609,키움,59,0.41,0.552,0.667,-2,0.452,0.667,0.545
2015,20150609,한화,58,0.403,0.517,0.5,1,0.63,0.419,0.472
2015,20150609,SSG,56,0.389,0.509,0.333,-1,0.5,0.516,0.486
2015,20150609,롯데,58,0.403,0.5,0.4,-1,0.645,0.333,0.462
2015,20150609,KIA,56,0.389,0.5,0.5,1,0.519,0.483,0.465
2015,20150609,LG,59,0.41,0.431,0.4,-3,0.433,0.429,0.451
2015,20150609,KT,59,0.41,0.237,0.4,2,0.194,0.286,0.364
2015,20150622,NC,67,0.465,0.591,0.6,4,0.606,0.576,0.596
2015,20150622,삼성,67,0.465,0.582,0.4,2,0.576,0.588,0.611
2015,20150622,두산,64,0.444,0.578,0.6,1,0.677,0.485,0.549
2015,20150622,키움,69,0.479,0.559,0.6,1,0.472,0.656,0.545
2015,20150622,KIA,65,0.451,0.508,0.6,2,0.545,0.469,0.465
2015,20150622,한화,69,0.479,0.507,0.4,-5,0.606,0.417,0.472
2015,20150622,SSG,65,0.451,0.5,0.4,-2,0.467,0.529,0.486
2015,20150622,롯데,68,0.472,0.471,0.3,-1,0.606,0.343,0.462
2015,20150622,LG,69,0.479,0.441,0.5,-1,0.457,0.424,0.451
2015,20150622,KT,69,0.479,0.275,0.5,-3,0.243,0.312,0.364
2015,20150705,삼성,77,0.535,0.597,0.7,3,0.615,0.579,0.611
2015,20150705,NC,76,0.528,0.56,0.4,-2,0.595,0.526,0.596
2015,20150705,두산,75,0.521,0.56,0.4,-2,0.615,0.5,0.549
2015,20150705,키움,78,0.542,0.558,0.6,2,0.474,0.641,0.545
2015,20150705,한화,77,0.535,0.532,0.6,3,0.639,0.439,0.472
2015,20150705,SSG,76,0.528,0.507,0.6,1,0.457,0.55,0.486
2015,20150705,KIA,75,0.521,0.48,0.3,-4,0.526,0.432,0.465
2015,20150705,롯데,78,0.542,0.462,0.4,-1,0.561,0.351,0.462
2015,20150705,LG,80,0.556,0.443,0.5,-3,0.474,0.415,0.451
2015,20150705,KT,80,0.556,0.313,0.5,3,0.302,0.324,0.364
2015,20150731,삼성,93,0.646,0.602,0.7,5,0.633,0.568,0.611
2015,20150731,키움,93,0.646,0.565,0.7,5,0.511,0.622,0.545
2015,20150731,두산,91,0.632,0.56,0.4,-2,0.587,0.533,0.549
2015,20150731,NC,92,0.639,0.544,0.3,-5,0.568,0.522,0.596
2015,20150731,한화,93,0.646,0.516,0.4,-1,0.556,0.479,0.472
2015,20150731,SSG,90,0.625,0.5,0.444,1,0.512,0.489,0.486
2015,20150731,KIA,92,0.639,0.489,0.7,4,0.543,0.435,0.465
2015,20150731,롯데,95,0.66,0.474,0.6,1,0.542,0.404,0.462
2015,20150731,LG,94,0.653,0.441,0.4,-1,0.478,0.404,0.451
2015,20150731,KT,93,0.646,0.312,0.2,-5,0.333,0.289,0.364
2015,20150813,삼성,104,0.722,0.615,0.7,2,0.642,0.588,0.611
2015,20150813,NC,103,0.715,0.574,0.8,-1,0.6,0.549,0.596
2015,20150813,두산,101,0.701,0.564,0.6,1,0.604,0.521,0.549
2015,20150813,키움,104,0.722,0.544,0.4,1,0.519,0.569,0.545
2015,20150813,한화,104,0.722,0.51,0.5,-1,0.549,0.472,0.472
2015,20150813,KIA,102,0.708,0.49,0.5,-1,0.54,0.442,0.465
2015,20150813,SSG,100,0.694,0.49,0.4,-3,0.521,0.46,0.486
2015,20150813,롯데,105,0.729,0.457,0.3,2,0.549,0.37,0.462
2015,20150813,LG,105,0.729,0.442,0.4,1,0.46,0.426,0.451
2015,20150813,KT,104,0.722,0.317,0.3,-3,0.327,0.306,0.364
2015,20150826,삼성,113,0.785,0.611,0.6,-2,0.638,0.582,0.611
2015,20150826,NC,112,0.778,0.591,0.7,-1,0.585,0.596,0.596
2015,20150826,두산,111,0.771,0.559,0.5,2,0.579,0.537,0.549
2015,20150826,키움,114,0.792,0.531,0.4,1,0.534,0.527,0.545
2015,20150826,KIA,112,0.778,0.5,0.6,-1,0.564,0.439,0.465
2015,20150826,한화,114,0.792,0.491,0.3,1,0.536,0.448,0.472
2015,20150826,SSG,111,0.771,0.468,0.2,1,0.491,0.444,0.486
2015,20150826,롯데,114,0.792,0.465,0.6,-1,0.574,0.367,0.462
2015,20150826,LG,115,0.799,0.447,0.5,3,0.482,0.414,0.451
2015,20150826,KT,114,0.792,0.342,0.6,-2,0.367,0.315,0.364
2015,20150908,삼성,124,0.861,0.613,0.6,2,0.631,0.593,0.611
2015,20150908,NC,123,0.854,0.587,0.5,2,0.559,0.613,0.596
2015,20150908,두산,122,0.847,0.557,0.6,-3,0.607,0.508,0.549
2015,20150908,키움,125,0.868,0.556,0.9,1,0.557,0.556,0.545
2015,20150908,롯데,125,0.868,0.484,0.667,6,0.567,0.406,0.462
2015,20150908,한화,125,0.868,0.48,0.4,-1,0.532,0.429,0.472
2015,20150908,KIA,123,0.854,0.472,0.2,-2,0.517,0.429,0.465
2015,20150908,SSG,122,0.847,0.458,0.3,-1,0.483,0.433,0.486
2015,20150908,LG,126,0.875,0.435,0.333,1,0.468,0.403,0.451
2015,20150908,KT,125,0.868,0.36,0.5,-2,0.409,0.305,0.364
2015,20150921,삼성,134,0.931,0.612,0.6,3,0.629,0.594,0.611
2015,20150921,NC,133,0.924,0.595,0.7,-1,0.576,0.615,0.596
2015,20150921,키움,134,0.931,0.556,0.6,1,0.554,0.559,0.545
2015,20150921,두산,132,0.917,0.538,0.3,1,0.582,0.492,0.549
2015,20150921,롯데,135,0.938,0.478,0.4,-3,0.545,0.412,0.462
2015,20150921,SSG,134,0.931,0.477,0.6,-1,0.5,0.456,0.486
2015,20150921,KIA,133,0.924,0.474,0.5,1,0.515,0.433,0.465
2015,20150921,한화,136,0.944,0.463,0.3,-1,0.5,0.426,0.472
2015,20150921,LG,135,0.938,0.436,0.5,-1,0.47,0.403,0.451
2015,20150921,KT,134,0.931,0.373,0.5,1,0.426,0.318,0.364
2015,20151004,삼성,143,0.993,0.608,0.6,2,0.639,0.577,0.611
2015,20151004,NC,143,0.993,0.596,0.6,-1,0.571,0.62,0.596
2015,20151004,두산,144,1.0,0.549,0.6,2,0.569,0.528,0.549
2015,20151004,키움,144,1.0,0.545,0.4,-1,0.556,0.535,0.545
2015,20151004,SSG,144,1.0,0.486,0.6,1,0.521,0.451,0.486
2015,20151004,한화,144,1.0,0.472,0.6,-1,0.528,0.417,0.472
